Class,SSA_F1,SSA_F2,SSA_F3,SSA_F4,SSA_F5,SSA_F6,SSA_F7,SSA_F8,SSA_F9,SSA_F10,SSA_F11,SSA_F12,SSA_F13,SSA_F14,SSA_F15,SSA_F16,SSA_F17,SSA_F18,SSA_F19,SSA_F20,SSA_F21,SSA_F22,SSA_F23,SSA_F24,SSA_F25,SSA_F26,SSA_F27,SSA_F28,SSA_F29,SSA_F30,SSA_F31,SSA_F32,SSA_F33,SSA_F34,SSA_F35,SSA_F36,SSA_F37,SSA_F38,SSA_F39,SSA_F40,SSA_F41,SSA_F42,SSA_F43,SSA_F44,SSA_F45,SSA_F46,SSA_F47,SSA_F48,SSA_F49,SSA_F50,SSA_F51,SSA_F52,SSA_F53,SSA_F54,SSA_F55,SSA_F56,SSA_F57,SSA_F58,SSA_F59,SSA_F60,SSA_F61,SSA_F62,SSA_F63,SSA_F64,SSA_F65,SSA_F66,SSA_F67,SSA_F68,SSA_F69,SSA_F70,SSA_F71,SSA_F72,SSA_F73,SSA_F74,SSA_F75,SSA_F76,SSA_F77,SSA_F78,SSA_F79,SSA_F80,SSA_F81,SSA_F82,SSA_F83,SSA_F84,SSA_F85,SSA_F86,SSA_F87,SSA_F88,SSA_F89,SSA_F90,SSA_F91,SSA_F92,SSA_F93,SSA_F94,SSA_F95,SSA_F96,SSA_F97,SSA_F98,SSA_F99,SSA_F100,SSA_F101,SSA_F102,SSA_F103,SSA_F104,SSA_F105,SSA_F106,SSA_F107,SSA_F108,SSA_F109,SSA_F110,SSA_F111,SSA_F112,SSA_F113,SSA_F114,SSA_F115,SSA_F116,SSA_F117,SSA_F118,SSA_F119,SSA_F120,SSA_F121
1,0.083333336,0.0882353,0.05637255,0.029411767,0.012254902,0.039215688,0.058823533,0.071078435,0.026960785,0.04656863,0.09068628,0.09068628,0.004901961,0.039215688,0.031862747,0.05637255,0.061274514,0.012254902,0.039215688,0.061274514,0,-0.110165134,0.24326219,-0.3560658,0.13530333,0.14588691,-0.008963984,-0.57720697,0.16256145,-0.11704523,0.22344653,0.066387065,-0.81189865,0.18673882,-0.38033947,0.09608568,-0.2676766,-0.052209437,-0.33122244,0.30770472,0.31829542,0.25042665,-0.21598268,0.44195986,0.035873607,0.02428506,0.012494669,0.05201254,-0.16348816,-0.36945358,-0.31274357,0.45061067,0.36264274,-0.17459755,-0.22860098,-0.11772202,-0.1979678,-0.24277388,0.2383854,0.08446311,-0.4392106,0.24022222,0.07112712,-0.1535219,0.35088685,-0.08328163,0.14997028,0.43699235,-0.050894618,0.20132093,-0.64276195,-0.30769917,-0.33419976,-0.07957186,0.022943908,-0.09772475,-0.29915538,-0.096762545,-0.05778968,-0.4504896,0.034621928,0.47439906,0.34249812,0.011229932,0.32601172,-0.33991528,-0.35650316,-0.10439265,-0.22434531,-0.02497263,0.07078885,-0.4163785,0.2765732,0.14468448,0.5844502,-0.10580405,-0.5333745,-0.30587307,-0.053355996,0.021428755,-0.0951178,0.10735304,-0.075190194,-0.25629783,0.28144643,0.352317,0.37490493,0.5801249,0.1775214,-0.1842439,-0.008002304,0.59837615,-0.37781158,0.13711001,0.18224438,-0.14385808,-0.043160163,0.26141074,0.05421246,0.14275546,0.028619433
1,0.055555556,0.08796296,0.037037037,0.034722224,0.013888889,0.03935185,0.04398148,0.06712963,0.034722224,0.060185187,0.08564815,0.0925926,0.025462963,0.034722224,0.041666668,0.06481481,0.08101852,0.009259259,0.034722224,0.055555556,0,-0.11016513,0.24326219,-0.35606578,0.13530333,0.14588691,-0.008963984,-0.5772069,0.16256143,-0.11704522,0.22344653,0.066387065,-0.8118985,0.18673883,-0.38033944,0.096085675,-0.2676766,-0.052209437,-0.33122244,0.30770472,0.31829545,0.25042665,-0.21598268,0.44195986,0.035873607,0.024285058,0.012494669,0.052012533,-0.16348816,-0.3694536,-0.31274354,0.45061067,0.36264274,-0.17459753,-0.22860098,-0.11772202,-0.19796778,-0.24277388,0.23838541,0.08446311,-0.43921062,0.24022222,0.07112712,-0.1535219,0.35088685,-0.08328163,0.14997028,0.43699232,-0.050894614,0.20132093,-0.64276195,-0.30769917,-0.33419973,-0.07957185,0.02294391,-0.09772475,-0.29915538,-0.096762545,-0.05778968,-0.4504896,0.034621924,0.4743991,0.34249812,0.011229932,0.3260117,-0.33991525,-0.35650313,-0.10439265,-0.2243453,-0.024972633,0.07078885,-0.4163785,0.2765732,0.14468448,0.5844502,-0.10580404,-0.5333745,-0.30587307,-0.053355996,0.02142875,-0.0951178,0.10735303,-0.075190194,-0.25629783,0.28144643,0.35231704,0.37490493,0.58012486,0.17752138,-0.18424387,-0.008002304,0.59837604,-0.37781158,0.13711001,0.18224438,-0.14385808,-0.043160167,0.26141074,0.054212455,0.14275546,0.028619435
1,0.074592076,0.102564104,0.037296038,0.04195804,0.02097902,0.034965035,0.03962704,0.07226107,0.037296038,0.04662005,0.0932401,0.08158509,0.011655012,0.027972028,0.060606062,0.03962704,0.062937066,0.00932401,0.032634035,0.07226107,0,-0.11016513,0.24326219,-0.35606578,0.13530333,0.14588691,-0.008963983,-0.5772069,0.16256143,-0.11704523,0.22344655,0.066387065,-0.81189865,0.18673885,-0.38033944,0.09608568,-0.2676766,-0.052209437,-0.33122244,0.3077047,0.31829542,0.25042665,-0.21598268,0.44195986,0.035873607,0.02428506,0.012494668,0.052012537,-0.16348816,-0.3694536,-0.31274357,0.45061067,0.36264274,-0.17459755,-0.22860098,-0.11772202,-0.19796778,-0.24277386,0.2383854,0.084463105,-0.43921062,0.24022222,0.07112712,-0.15352188,0.35088685,-0.083281636,0.1499703,0.43699235,-0.050894614,0.20132095,-0.64276195,-0.30769917,-0.33419973,-0.07957185,0.02294391,-0.09772476,-0.29915535,-0.096762545,-0.057789676,-0.4504896,0.034621928,0.47439912,0.34249815,0.011229932,0.3260117,-0.33991525,-0.35650316,-0.104392655,-0.2243453,-0.024972633,0.07078885,-0.4163785,0.2765732,0.14468448,0.5844502,-0.10580403,-0.5333745,-0.30587307,-0.053355996,0.02142875,-0.0951178,0.10735303,-0.075190194,-0.25629783,0.28144643,0.35231707,0.3749049,0.58012486,0.17752136,-0.18424387,-0.008002304,0.59837604,-0.3778116,0.13711001,0.18224438,-0.14385808,-0.043160163,0.26141074,0.054212455,0.14275548,0.028619433
1,0.07621247,0.106235564,0.025404157,0.016166281,0.01847575,0.06004619,0.064665124,0.07852194,0.02078522,0.034642033,0.07159353,0.066974595,0.016166281,0.02078522,0.050808314,0.05773672,0.062355656,0.013856813,0.03926097,0.09930716,0,-0.11016513,0.24326219,-0.35606578,0.13530333,0.14588691,-0.008963984,-0.57720685,0.16256143,-0.11704523,0.22344653,0.066387065,-0.8118985,0.18673882,-0.38033944,0.09608567,-0.2676766,-0.052209437,-0.33122241,0.30770472,0.31829545,0.25042665,-0.21598266,0.44195986,0.035873607,0.02428506,0.012494668,0.052012533,-0.16348816,-0.3694536,-0.31274354,0.45061064,0.36264277,-0.17459753,-0.22860098,-0.11772201,-0.19796777,-0.24277388,0.23838542,0.084463105,-0.4392106,0.24022222,0.07112712,-0.15352188,0.35088682,-0.08328162,0.14997028,0.43699235,-0.050894614,0.20132093,-0.64276195,-0.30769914,-0.33419976,-0.07957184,0.02294391,-0.097724736,-0.29915535,-0.09676254,-0.057789676,-0.4504896,0.034621924,0.47439906,0.34249806,0.011229932,0.3260117,-0.33991525,-0.3565031,-0.10439263,-0.22434528,-0.024972634,0.07078885,-0.41637844,0.2765732,0.1446845,0.5844502,-0.10580404,-0.5333745,-0.30587304,-0.053355996,0.021428749,-0.09511779,0.10735303,-0.075190194,-0.25629783,0.28144643,0.35231707,0.37490493,0.58012486,0.17752138,-0.18424387,-0.008002305,0.598376,-0.37781155,0.13711,0.18224438,-0.14385806,-0.043160163,0.2614107,0.054212455,0.14275546,0.028619437
1,0.10045662,0.13470319,0.022831049,0.031963468,0.020547945,0.04109589,0.05022831,0.070776254,0.02739726,0.034246575,0.10958904,0.047945205,0.011415524,0.015981734,0.063926935,0.052511413,0.043378994,0.022831049,0.022831049,0.07534246,0,-0.11016513,0.24326216,-0.35606578,0.13530332,0.14588691,-0.008963983,-0.57720685,0.16256142,-0.117045216,0.2234465,0.06638706,-0.8118985,0.18673883,-0.38033944,0.09608567,-0.26767656,-0.052209433,-0.33122241,0.3077047,0.3182954,0.25042665,-0.21598265,0.4419598,0.035873603,0.02428506,0.012494668,0.05201253,-0.16348816,-0.36945358,-0.31274354,0.45061064,0.36264274,-0.17459753,-0.22860096,-0.117722005,-0.19796777,-0.24277388,0.23838541,0.084463105,-0.43921056,0.24022219,0.07112711,-0.1535219,0.35088685,-0.08328163,0.14997026,0.43699232,-0.050894614,0.20132092,-0.6427619,-0.30769914,-0.33419973,-0.07957185,0.022943906,-0.097724736,-0.29915535,-0.096762545,-0.057789672,-0.4504896,0.034621924,0.4743991,0.34249806,0.011229932,0.3260117,-0.33991522,-0.35650313,-0.10439263,-0.22434528,-0.02497263,0.070788845,-0.41637847,0.27657318,0.14468448,0.5844502,-0.10580404,-0.5333745,-0.30587304,-0.053355996,0.021428749,-0.09511779,0.10735303,-0.07519019,-0.2562978,0.2814464,0.35231704,0.37490487,0.58012486,0.17752138,-0.18424387,-0.008002304,0.59837604,-0.37781158,0.13711,0.18224435,-0.14385808,-0.043160163,0.2614107,0.054212455,0.14275545,0.028619435
1,0.044289045,0.10489511,0.08391608,0.051282052,0.002331002,0.051282052,0.037296038,0.060606062,0.023310024,0.06526807,0.08624709,0.08624709,0.00932401,0.027972028,0.030303031,0.06993007,0.04662005,0.00932401,0.053613055,0.055944055,0,-0.11016513,0.24326219,-0.35606578,0.13530333,0.14588691,-0.008963983,-0.5772069,0.16256143,-0.11704523,0.22344655,0.066387065,-0.81189865,0.18673885,-0.38033944,0.09608568,-0.2676766,-0.052209437,-0.33122244,0.3077047,0.31829542,0.25042665,-0.21598268,0.44195986,0.035873607,0.02428506,0.012494668,0.052012537,-0.16348816,-0.3694536,-0.31274357,0.45061067,0.36264274,-0.17459755,-0.22860098,-0.11772202,-0.19796778,-0.24277386,0.2383854,0.084463105,-0.43921062,0.24022222,0.07112712,-0.15352188,0.35088685,-0.083281636,0.1499703,0.43699235,-0.050894614,0.20132095,-0.64276195,-0.30769917,-0.33419973,-0.07957185,0.02294391,-0.09772476,-0.29915535,-0.096762545,-0.057789676,-0.4504896,0.034621928,0.47439912,0.34249815,0.011229932,0.3260117,-0.33991525,-0.35650316,-0.104392655,-0.2243453,-0.024972633,0.07078885,-0.4163785,0.2765732,0.14468448,0.5844502,-0.10580403,-0.5333745,-0.30587307,-0.053355996,0.02142875,-0.0951178,0.10735303,-0.075190194,-0.25629783,0.28144643,0.35231707,0.3749049,0.58012486,0.17752136,-0.18424387,-0.008002304,0.59837604,-0.3778116,0.13711001,0.18224438,-0.14385808,-0.043160163,0.26141074,0.054212455,0.14275548,0.028619433
1,0.022172948,0.08203991,0.05764967,0.037694015,0.019955654,0.03325942,0.05543237,0.06651884,0.024390243,0.07760532,0.07317073,0.1286031,0.015521064,0.037694015,0.039911307,0.050997782,0.06430155,0.006651885,0.05986696,0.046563193,0,-0.110165134,0.24326216,-0.3560658,0.13530333,0.14588691,-0.008963984,-0.5772069,0.16256143,-0.11704522,0.22344652,0.06638706,-0.8118986,0.18673882,-0.3803394,0.096085675,-0.2676766,-0.052209433,-0.33122241,0.3077047,0.31829542,0.25042662,-0.21598266,0.44195983,0.035873607,0.024285058,0.012494669,0.052012533,-0.16348816,-0.36945358,-0.31274357,0.45061067,0.36264274,-0.17459755,-0.22860098,-0.11772201,-0.1979678,-0.24277388,0.23838542,0.08446311,-0.4392106,0.24022219,0.07112712,-0.1535219,0.35088685,-0.08328162,0.14997026,0.43699232,-0.05089461,0.2013209,-0.6427619,-0.30769917,-0.33419976,-0.07957185,0.02294391,-0.09772474,-0.29915535,-0.096762545,-0.057789676,-0.45048958,0.034621924,0.47439906,0.3424981,0.011229932,0.32601172,-0.33991525,-0.35650316,-0.10439263,-0.22434531,-0.024972633,0.07078885,-0.41637844,0.2765732,0.14468448,0.5844502,-0.10580403,-0.53337455,-0.3058731,-0.05335599,0.021428753,-0.0951178,0.10735303,-0.075190194,-0.2562978,0.28144643,0.352317,0.37490493,0.5801248,0.17752136,-0.18424389,-0.008002304,0.5983761,-0.37781155,0.13711001,0.18224436,-0.14385808,-0.04316017,0.26141074,0.05421245,0.14275546,0.028619437
1,0.055928413,0.08948546,0.060402684,0.03803132,0.013422819,0.042505592,0.05816555,0.08053692,0.029082775,0.07158837,0.08053692,0.10738255,0.02013423,0.026845638,0.042505592,0.042505592,0.046979867,0.013422819,0.03803132,0.042505592,0,-0.11016513,0.24326217,-0.35606578,0.13530333,0.14588693,-0.008963983,-0.5772069,0.16256143,-0.11704522,0.22344653,0.066387065,-0.8118985,0.18673883,-0.38033947,0.09608567,-0.2676766,-0.052209437,-0.33122244,0.30770472,0.31829548,0.25042668,-0.21598266,0.4419598,0.035873607,0.024285058,0.012494669,0.052012537,-0.16348816,-0.36945358,-0.31274357,0.45061067,0.3626427,-0.17459753,-0.22860098,-0.11772202,-0.19796777,-0.24277388,0.2383854,0.08446311,-0.43921062,0.24022219,0.07112712,-0.15352188,0.35088688,-0.083281636,0.14997028,0.43699232,-0.050894614,0.20132092,-0.64276195,-0.30769917,-0.3341997,-0.07957186,0.02294391,-0.09772474,-0.29915535,-0.09676255,-0.057789676,-0.4504896,0.034621928,0.47439903,0.3424981,0.011229932,0.32601172,-0.33991525,-0.35650313,-0.10439265,-0.2243453,-0.024972634,0.07078885,-0.4163785,0.2765732,0.1446845,0.5844502,-0.10580403,-0.53337455,-0.30587304,-0.053356,0.02142875,-0.09511779,0.10735304,-0.075190194,-0.25629783,0.28144643,0.35231704,0.3749049,0.58012486,0.17752136,-0.18424389,-0.008002304,0.5983761,-0.37781158,0.13711,0.18224438,-0.14385809,-0.043160167,0.26141074,0.054212455,0.14275546,0.028619433
1,0.026966292,0.06516854,0.06516854,0.04044944,0.011235955,0.031460673,0.04494382,0.06741573,0.031460673,0.07865169,0.060674157,0.13258427,0.015730336,0.051685393,0.04494382,0.07191011,0.047191013,0.015730336,0.04494382,0.051685393,0,-0.11016513,0.24326219,-0.35606578,0.13530333,0.14588691,-0.008963984,-0.57720685,0.16256143,-0.11704522,0.22344652,0.066387065,-0.8118986,0.18673885,-0.38033947,0.096085675,-0.2676766,-0.05220944,-0.33122244,0.3077047,0.31829545,0.25042668,-0.21598266,0.44195983,0.035873607,0.02428506,0.012494669,0.052012533,-0.16348816,-0.3694536,-0.31274357,0.45061067,0.3626427,-0.17459753,-0.22860098,-0.11772202,-0.19796777,-0.24277388,0.23838542,0.084463105,-0.43921062,0.2402222,0.07112711,-0.1535219,0.35088685,-0.08328163,0.1499703,0.43699235,-0.050894614,0.20132093,-0.64276195,-0.30769917,-0.33419973,-0.07957185,0.022943908,-0.09772474,-0.29915538,-0.096762545,-0.057789672,-0.45048958,0.034621928,0.47439906,0.3424981,0.011229932,0.3260117,-0.33991525,-0.35650313,-0.10439265,-0.22434531,-0.024972633,0.07078885,-0.41637847,0.2765732,0.1446845,0.5844502,-0.10580403,-0.5333745,-0.30587304,-0.053356,0.021428749,-0.0951178,0.10735304,-0.075190194,-0.25629783,0.28144643,0.35231704,0.37490487,0.5801249,0.17752138,-0.18424387,-0.008002304,0.59837604,-0.3778116,0.13711,0.18224438,-0.14385808,-0.043160163,0.26141074,0.05421246,0.14275545,0.028619437
1,0.06912442,0.08294931,0.06451613,0.03456221,0.016129032,0.06912442,0.025345622,0.06682028,0.03456221,0.05299539,0.08294931,0.09677419,0.016129032,0.039170507,0.03456221,0.057603687,0.048387095,0.006912442,0.041474655,0.059907835,0,-0.110165134,0.24326219,-0.3560658,0.13530332,0.14588691,-0.008963984,-0.57720685,0.16256145,-0.11704523,0.22344652,0.066387065,-0.8118985,0.18673882,-0.38033944,0.09608567,-0.26767656,-0.052209433,-0.33122241,0.30770475,0.31829545,0.25042665,-0.21598268,0.44195986,0.035873607,0.024285058,0.012494669,0.052012533,-0.16348815,-0.3694536,-0.31274354,0.45061067,0.36264277,-0.17459753,-0.228601,-0.11772201,-0.19796778,-0.24277388,0.23838541,0.08446311,-0.4392106,0.24022222,0.07112712,-0.1535219,0.35088682,-0.08328163,0.14997026,0.43699232,-0.050894614,0.20132093,-0.64276195,-0.30769917,-0.33419976,-0.07957184,0.02294391,-0.097724736,-0.29915538,-0.09676254,-0.05778968,-0.45048958,0.034621924,0.47439906,0.34249806,0.011229932,0.3260117,-0.33991528,-0.3565031,-0.10439263,-0.2243453,-0.024972634,0.07078885,-0.41637847,0.2765732,0.1446845,0.5844502,-0.10580404,-0.5333745,-0.30587304,-0.053355996,0.021428749,-0.0951178,0.10735303,-0.075190194,-0.25629783,0.28144643,0.35231704,0.37490493,0.5801249,0.17752138,-0.18424387,-0.008002305,0.59837604,-0.37781155,0.13711001,0.18224436,-0.14385808,-0.043160167,0.2614107,0.054212455,0.14275546,0.028619435
